OBJECTID,NAME,CATEGORY,ZIP_CODE,COMMENTS,Location 1
1,CRYSTAL SPRINGS UPLANDS HIGH SCHOOL,HIGH SCHOOL,94010,,"400 Uplands Dr.
HILLSBOROUGH, CA 94010
(37.557765046087681, -122.336446540976160)"
2,ARAGON HIGH SCHOOL,HIGH SCHOOL,94402,,"900 Alameda de Las Pulgas
SAN MATEO, CA 94402
(37.551795343193028, -122.329092187356980)"
3,FIESTA GARDENS INTERNATIONAL ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94403,,"1001 Bermuda Dr.
SAN MATEO, CA 94403
(37.551242912104676, -122.299490383786760)"
4,WEST HILLSBOROUGH ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94010,,"376 Barbara Way
HILLSBOROUGH, CA 94010
(37.549293424654159, -122.368023750635960)"
5,BOREL MIDDLE SCHOOL,MIDDLE SCHOOL,94402,,"425 Barneson Ave.
SAN MATEO, CA 94402
(37.550212077478783, -122.322472454417610)"
6,FARALLONE VIEW ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94037,,"1100 Le Conte Ave
MONTARA 94037
(37.543900905156967, -122.508238779367840)"
7,FOSTER CITY ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94404,,"461 Beach Park Blvd.
FOSTER CITY, CA 94404
(37.545452281579280, -122.273255544953160)"
8,JUNIPERO SERRA HIGH SCHOOL,HIGH SCHOOL,94403,,"451 W 20th Ave
SAN MATEO, CA 94403
(37.546348196515090, -122.317458571439670)"
9,WASHINGTON ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94010,,"801 Howard Ave.
BURLINGAME, CA 94010
(37.580948346637534, -122.340292964427690)"
10,SAN MATEO HIGH SCHOOL,HIGH SCHOOL,94401,,"506 North Delaware St.
SAN MATEO, CA 94401
(37.576468588476331, -122.330192099862200)"
11,PARKSIDE INTERMEDIATE SCHOOL,7-8 SCHOOL,94066,,"1801 Niles Ave.
SAN BRUNO, CA 94066
(37.616278740613168, -122.419886745686130)"
12,BURLINGAME HIGH SCHOOL,HIGH SCHOOL,94010,,"1 Mangini Way
BURLINGAME, CA 94010
(37.582109937391223, -122.346755600888510)"
13,FERNANDO RIVERA INTERMEDIATE SCHOOL,INTERMEDIATE SCHOOL,94015,,"1255 Southgate Ave.
DALY CITY, CA 94015
(37.676479500607961, -122.486222195546490)"
14,FRANKLIN DELANO ROOSEVELT ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94015,,"1200 Skyline Dr.
DALY CITY, CA 94015
(37.661886986118887, -122.486024593133460)"
15,MARJORIE H. TOBIAS ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94015,,"725 Southgate Ave.
DALY CITY, CA 94015
(37.690992713174005, -122.490797856972660)"
16,THORNTON HIGH SCHOOL,HIGH SCHOOL,94014,,"115 First Ave.
DALY CITY, CA 94014
(37.691367361717724, -122.464255834736060)"
17,THOMAS R. POLLICITA MIDDLE SCHOOL,MIDDLE SCHOOL,94014,,"550 East Market St.
DALY CITY, CA 94014
(37.690631832058365, -122.459593789515570)"
18,COLMA ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94014,,"444 E Market St
DALY CITY, CA 94014
(37.690201870480742, -122.460548771426130)"
19,WESTBOROUGH MIDDLE SCHOOL,MIDDLE SCHOOL,94080,,"2570 Westborough Blvd.
SOUTH SAN FRANCISCO, CA 94080
(37.643285392305586, -122.460764376975790)"
20,DANIEL WEBSTER ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94015,,"425 El Dorado Dr.
DALY CITY, CA 94015
(37.677697792434834, -122.478023978024150)"
21,MILLS MONTESSORI SCHHOL ,ELEMENTARY SCHOOL,94080,,"1400 Hillside Blvd
SOUTH SAN FRANCISCO, CA 94080
(37.668370045575330, -122.424282464679370)"
22,EL CAMINO HIGH SCHOOL,HIGH SCHOOL,94080,,"1320 Mission Rd.
SOUTH SAN FRANCISCO, CA 94080
(37.664378853355792, -122.442860456594930)"
24,SUNSHINE GARDENS ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94080,,"1200 Miller Ave.
SOUTH SAN FRANCISCO, CA 94080
(37.665102392455445, -122.437004211697000)"
25,MARTIN ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94080,,"35 School St.
SOUTH SAN FRANCISCO, CA 94080
(37.662785243222466, -122.410058949204100)"
26,SAINT ROBERT ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94066,Google Maps,"345 Oak Avenue
SAN BRUNO, CA 94066
(37.617227209176015, -122.415628382693070)"
27,SAINT GREGORY ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94403,,"2701 Hacienda St
SAN MATEO, CA 94403
(37.540633582103759, -122.308409429256020)"
28,IMMACULATE HEART OF MARY ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94002,Based on Tax Use data,"1000 Alameda de las Pulgas
BELMONT, CA 94002
(37.512001105405020, -122.294323110779150)"
29,PONDEROSA ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94080,,"295 Ponderosa Rd.
SOUTH SAN FRANCISCO, CA 94080
(37.646507295888171, -122.433580110515040)"
30,SOUTH SAN FRANCISCO HIGH SCHOOL,HIGH SCHOOL,94080,,"400 B St.
SOUTH SAN FRANCISCO, CA 94080
(37.649786946902701, -122.428261104869390)"
31,WHITE OAKS ELEMENTARY SCHOOL,K-4 SCHOOL,94070,Revision based on parcels tax use,"1901 White Oak Way
SAN CARLOS, CA 94070
(37.492119557727953, -122.253267367823160)"
32,ALPHA BEACON CHRISTIAN SCHOOL,RELIGIOUS SCHOOL,94403,Based on parcels tax use and Google,"525 W. 42nd Ave.
SAN MATEO, CA 94403
(37.524655165961782, -122.303380452784680)"
33,ARUNDEL ELEMENTARY SCHOOL,K-4 SCHOOL,94070,,"200 ARUNDEL RD.
SAN CARLOS, CA 94070
(37.503475936704099, -122.274913329216150)"
34,GREEN OAKS ACADEMY,ELEMENTARY SCHOOL,94303,,"2450 Ralmar Street
EAST PALO ALTO, CA 94303
(37.473845527058707, -122.147038388371910)"
35,REDWOOD SHORES ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94065,Belmont-Redwood Shores Elementary School Dist,"225 Shearwater Parkway
94065
(37.543557540561459, -122.245893472253290)"
36,MCKINLEY ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94010,Rvision based on aerial photo,"701 Paloma Ave.
BURLINGAME, CA 94010
(37.579062439017903, -122.355902903779880)"
37,ROOSEVELT ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94010,,"1151 Vancouver Ave.
BURLINGAME, CA 94010
(37.579624659919546, -122.369048823596540)"
38,GEORGE HALL ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94403,,"130 San Miguel Way
SAN MATEO, CA 94403
(37.537673567367285, -122.291339604497950)"
39,BAYWOOD ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94402,,"600 Alameda de Las Pulgas
SAN MATEO, CA 94402
(37.553227393186276, -122.332525108198410)"
40,AUDUBON ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94404,,"841 Gull Ave.
FOSTER CITY, CA 94404
(37.567074452613475, -122.259181083339680)"
41,THE BAYSIDE S.T.E.M. ACADEMY,MIDDLE SCHOOL,94403,,"2025 Kehoe Ave.
SAN MATEO, CA 94403
(37.565583953415640, -122.295949825909690)"
42,COLLEGE OF SAN MATEO,COLLEGE,94402,,"1700 W. Hillsdale Blvd
SAN MATEO, CA 94402
(37.531835060396993, -122.335202191949630)"
43,SOUTH HILLSBOROUGH ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94010,,"303 El Cerrito Ave.
HILLSBOROUGH, CA 94010
(37.562699832744215, -122.337582914302150)"
