Name,Address,Address 2,City,State,Zip code,Phone,Website,Services,Open hours,Location1,Icon
American  Legion Post 409,757 San Mateo Ave,,San Bruno,CA,94066,(650) 589 3102,,,2nd Wednesday 7pm,"757 San Mateo Ave
San Bruno, CA 94066
(37.629499, -122.411334)",https://data.smcgov.org/views/4xn4-u9tu/files/e176221a-208b-48c7-8b2f-c19c3bd1684e
American legion Post 105,651 El Camino Real,,Redwood City,CA,94063,(650) 365 1337,,,2nd Wednesday 7pm,"651 El
Camino Real Redwood City, CA 94063
(37.487981, -122.236873)",https://data.smcgov.org/views/4xn4-u9tu/files/5ba1a709-40ab-443e-818b-f5a33b205f62
American legion Post 238,555 Buel Rd,,Pacifica,CA,94044,(650) 355 4346,,,3rd Thursday 7pm,"555 Buel Rd
Pacifica, CA 94044
(37.606246, -122.492592)",https://data.smcgov.org/views/4xn4-u9tu/files/1b0243cd-7167-4a5a-a0e2-6dac814df246
American Legion Post 474,470 Capistrano Rd,,Half Moon Bay,CA,94019,(650) 728 9224,,,3rd Tuesday 7pm,"470 Capistrano Rd
Half Moon Bay, CA 94019
(37.505052, -122.486469)",https://data.smcgov.org/views/4xn4-u9tu/files/6bd028db-0c86-47ec-89cd-a838396f141f
American Legion Post 585,1159 Bush St,,San Carlos,CA,94070,(650) 595 7998,,,3rd Tuesday 6pm,"1159 Bush St
San Carlos, CA 94070
(37.508539, -122.263085)",https://data.smcgov.org/views/4xn4-u9tu/files/9285286a-6592-4f13-af5d-deb7755e2d58
American Legion Post 82,130 South Blvd,,San Mateo ,CA,94402,(650) 345 7388,,,3rd Thursdays 5pm,"130 South Blvd
San Mateo, CA 94402
(37.554261, -122.311968)",https://data.smcgov.org/views/4xn4-u9tu/files/82568774-74f9-40a8-85f5-2c626ac1d10c
Cañada College,4200 Farm Hill Blvd,"Building 9, 2nd floor",Redwood City,CA,94061,(650) 381-3528,http://canadacollege.edu/veterans/index.php,Assistance with benefits and claims submission,Every 1st Wednesday 9:00am - 3:00pm,"4200 Farm Hill Blvd
Redwood City, CA 94061
(37.447061, -122.260384)",https://data.smcgov.org/views/4xn4-u9tu/files/d17d97f6-523b-4477-8ff0-a5677babca92
Coastside Hope,99 Avenue Alhambra,,El Granada,CA,94019,(650) 726 9071,,"Serves Areas: El Granada, Half Moon Bay, La Honda, Montara, Moss Beach, Pescadero, San Gregorio",,"99 Avenue
Alhambra El Granada, CA 94019
(37.505239, -122.480215)",https://data.smcgov.org/views/4xn4-u9tu/files/bad11783-1e02-4d21-919e-2a0ad72506d4
College of San Mateo,1700 W Hillsdale Blvd,"Building 16, Room 150",San mateo,CA,94402,(650) 574-6675,http://collegeofsanmateo.edu/veterans/,Assistance with benefits and claims submission,Every 2nd Wednesday 9:00am - 3:00pm,"1700 W Hillsdale Blvd
San mateo, CA 94402
(37.531674, -122.33404)",https://data.smcgov.org/views/4xn4-u9tu/files/fd498405-931f-4dae-8968-b453c8f18767
County Veterans Services Office,400 Harbor Blvd,Building B,Belmont,CA,94002,(650) 802-6598,http://hsa.smcgov.org/veterans,Assistance with benefits and claims submission,M-F 8am-5PM,"400 Harbor Blvd
Belmont, CA 94002
(37.520567, -122.267839)",https://data.smcgov.org/views/4xn4-u9tu/files/1ac40662-fa6d-402d-bb09-06dafe56619a
